"","ID","Beneficio","Compra","Acidez","AcidoCitrico","pH","CloruroSodico","Densidad","Azucar","Sulfatos","Alcohol","Etiqueta","CalifProductor","Clasificacion","Region","PrecioBotella"
"1",13606,0,"0",0.39,0.14,4.99,0.073,1.02195,5.9,0.12,6.6,"B",5,NA,"1",4.56
"2",3119,0,"0",2.19,2.58,5.54,0.205,0.95373,6.4,0.49,NA,"B",4,NA,NA,3.01
"3",1190,0,"0",1.44,-1.54,5.1,0.058,0.99271,7.1,0.39,10.2,"B",2,NA,"1",1
"4",5261,0,"0",0.5,0.3,5.23,0.276,0.9959,3.5,-0.81,4.4,"R",4,NA,"3",1.85
"5",2871,0,"0",-0.1,0.3,5.75,0.048,1.02724,7.2,0.44,10.1,"M",2,NA,"1",1.28
"6",4432,0,"0",1.26,1.26,5.3,0.305,0.99147,3.7,1.92,14,"R",3,NA,NA,7
"7",11763,0,"0",0.85,0.14,5.74,0.169,0.96464,7.4,-0.99,10.1,"R",4,NA,"1",2.1
"8",2852,0,"0",0.34,-1.04,5.12,-0.345,1.02578,6.2,-0.26,9.3,"R",2,"*","3",5.21
"9",8725,0,"0",0.46,-0.74,5.37,0.064,0.99718,1.5,1.91,11,"R",5,NA,"2",2.95
"10",8135,0,"0",-0.555,0.27,4.96,0.315,1.02799,4,NA,10,"R",4,NA,"1",1
"11",15084,0,"0",0.22,-0.56,5.28,0.035,0.97087,9.8,0.61,14.3,"R",2,NA,"3",2.69
"12",2945,0,"0",0.38,-0.19,5.56,0.06,1.02275,5.6,1.2,10.6,"B",2,NA,NA,4.2
"13",9814,0,"0",0.4,0.02,5.56,-0.016,0.9955,10.2,0.83,NA,"B",2,NA,"1",1.43
"14",15417,0,"0",0.29,0.38,6.04,NA,0.98717,9.2,1.6,9.4,"B",2,NA,"1",3.29
"15",13930,0,"0",-0.03,0.31,5.61,0.589,0.9965,8.5,0.55,10.8,"R",2,NA,"2",6.69
"16",4235,0,"0",0.49,0,5.56,0.035,0.9972,6.2,NA,16,"R",3,NA,"2",4.42
"17",583,0,"0",1.105,0,4.81,0.39,0.9846,7.6,-0.7,7.9,"R",3,NA,"2",1.29
"18",14774,0,"0",0.22,0.41,5.25,-0.084,1.01158,9.4,NA,9.7,"R",2,"*","1",4.23
"19",15322,0,"0",0.99,0.43,5.49,0.625,0.9966,8.1,0.57,16,"R",6,"*","2",1.83
"20",920,0,"0",1.31,0.65,6.01,-0.116,0.94955,9,1.73,9.3,"M",3,NA,"3",2.81
"21",4113,0,"0",0.22,0.33,5.36,0.041,1.0407,10.7,0.56,11,"MB",2,"*","1",3.28
"22",14462,0,"0",-0.24,0.39,6.07,NA,0.96824,3.3,0.54,NA,"B",2,NA,"2",1.81
"23",352,0,"0",0.35,0.3,5.48,0.299,0.96256,10.8,1.34,11,"M",2,NA,"1",4.03
"24",9108,0,"0",0.16,0.64,5.67,0.05,0.98304,5.7,0.51,7.6,"MM",4,NA,"3",4.54
"25",13636,0,"0",0.52,-0.04,4.91,-0.01,0.99438,9.2,0.78,10.1,"MB",7,NA,"3",1.38
