sample_id,tumor_1_normal_2,ARHGEF10L,HIF3A,RNF17,RNF10,RNF11,RNF13,GTF2IP1,REM1,MTVR2,RTN4RL2,C16orf13,C16orf11,FGFR1OP2,TSKS,ATRX,PMM2,LOC100272146,ASS1,NCBP1,ZNF709,ZNF708,RBM14,NCBP2,DISC1,CAMK1,RPL37,SPR,ZNF700,ZNF707,CAMK4,ZNF704,LOC339240,GOLGA6B,RNF115,RNF112,ZC3H14,SPN,HMGCLL1,NACAP1,LRRTM1,GRIN1,RBMY1A3P,DHX8,DHX9,LOC441204,TCOF1,LRRTM3,NUP98,XPC,SLC12A2,GRINA,LRRTM2,NUP93,HAP1,KLRA1,CAMKV,SPPL3,GOLIM4,ZNF646,OPA3,OPA1,RHEB,RAB40C,RAB40B,RAB40A,COL7A1,MDP1,GTSE1,FAM183A,ARFRP1,OVCH1,FAM183B,PSAP,KIAA0831,SPPL2A,SLC46A1,TGFBR2,ITGA8,ITGA9,STK40,MYO3B,ATP2A1,ATP2A2,ATP2A3,ITGA1,ITGA2,ITGA3,ITGA4,ITGA5,ITGA6,ITGA7,TRHR,LOC100132288,DENND4A,DENND4B,DENND4C,SWAP70,RARRES1,LOC100132287,PHLDA3,PHLDA2,TACO1,PMM1,GAP43,NENF,SQLE,MRPL28,LOC100289341,FBXL13,FBXL12,FBXL15,CYP27B1,FBXL17,FBXL16,FAM169A,FAM116B,FAM116A,FAM169B,RALGAPA2,GHDC,H19,SDK2,GRP,TPRN,THSD4,KIAA0895L,CHST9,CHST8,COL4A5,COL4A4,COL4A3,COL4A2,COL4A1,SLC35D2,CHST1,ZNF879,CHST3,CHST2,CHST5,CHST4,CHST7,CHST6,ITGAX,OR8J1,SNORD115-17,BCL2A1,GPSM2,HLCS,NOG,LIPG,ITGAV,HIBCH,ZNF703,ITGAL,ITGAM,LOC286359,HLF,NOV,FAM134C,FAM134B,FAM134A,SERPING1,SMAD9,TRERF1,LOC653501,LRPAP1,LQK1,SMAD6,SMAD7,GOLPH3L,SMAD1,AFTPH,SMAD3,MUS81,AMMECR1L,IL1RAPL1,TMPRSS11B,IGF2R,TMPRSS11D,TMPRSS11F,ZC3H10,RAD21L1,IL1RAPL2,SLC36A3,CKS1B,SLC36A1,ST13,RPL31P11,C14orf115,ZC3H15,TMEM213,C14orf118,ARTN,ART1,HRH3,ART3,HERC2P2,ART5,ART4,LIPG
TCGA-AR-A5QQ-01,1,9.5074,1.5787,0,11.3676,11.1292,9.9722,11.5966,3.2396,0,3.5764,9.794,0.5819,8.844,1.993,9.4263,10.3735,3.0792,9.5279,10.3001,5.2763,6.3037,10.3336,10.8729,6.0783,8.6979,14.0584,9.0213,7.5794,7.8611,4.313,5.0784,0,0.5819,8.4274,1.993,10.4075,8.5624,0.9953,7.6453,0,2.3145,0,10.1774,11.9777,3.6353,11.8445,0.5819,11.7083,9.6091,9.0887,12.5999,4.0356,10.4634,5.5908,3.1616,0,10.248,8.9006,8.4357,9.2147,10.3553,10.7254,9.2738,8.2267,1.5787,14.2797,6.3192,9.2726,2.7994,10.9125,0,1.5787,15.141,8.3238,9.6026,8.4102,11.9661,2.8988,5.9908,10.1251,5.2004,2.9918,12.7904,10.0867,9.4377,11.4712,14.8431,8.4812,13.5629,13.9013,6.002,0,7.0241,8.1353,9.7736,9.0808,11.117,9.3205,8.4644,11.9352,11.1706,9.2481,9.9658,7.7389,10.6613,11.218,11.1122,6.1507,0.9953,8.5123,8.5414,9.639,7.9565,5.7323,7.8045,6.9623,9.3937,0,6.2946,9.6327,10.7079,9.3559,4.3834,8.0047,9.9615,7.5681,3.8982,2.4518,10.479,7.5143,4.3834,12.9944,12.8847,8.844,8.357,4.9452,9.822,8.1805,0.5819,3.3135,6.8976,5.3307,9.3915,0,0,8.2668,10.8231,8.8283,5.2197,8.6273,11.8367,8.5794,8.5337,9.7092,9.3148,0,4.1205,6.1806,10.2737,6.5065,10.9557,12.3408,2.5772,8.7605,6.2576,11.1687,6.6128,5.649,9.0926,8.5005,9.5191,9.4765,9.9043,9.3755,9.0953,1.993,0,11.4245,8.8946,1.3163,7.2147,0,2.9918,0,10.7895,8.8109,12.0547,1.8007,0,10.6072,1.3163,7.5103,9.12,0,0,1.993,8.8764,1.3163,0.5819,1
TCGA-D8-A1JA-01,1,7.4346,3.6607,0.6245,11.9181,13.5273,10.8702,12.3048,2.5547,0,6.0854,7.6658,0,9.0535,0,11.8369,10.3916,4.6343,10.6646,10.9484,7.1969,8.8492,10.1715,10.6518,7.6168,5.4037,12.7034,7.6307,8.769,5.4792,1.5341,9.5254,0,2.1767,9.6088,1.9926,10.5945,4.7109,4.5367,7.0454,0,2.0876,0,9.641,12.7862,2.5547,8.6389,0,12.1227,8.9663,13.3291,12.4383,3.4973,10.0492,1.2353,5.4347,1.663,10.6201,8.8373,8.4259,9.0253,11.4949,9.4255,8.3149,8.0054,0.3459,5.2313,6.6464,6.7975,2.7988,6.5406,0,0.3459,14.7352,9.5815,10.96,9.2156,11.582,4.5863,5.908,10.579,3.4973,1.2353,13.5158,11.6298,11.2511,10.4529,14.6102,9.6717,11.3779,12.6187,4.2793,0,6.5779,10.8242,10.0035,14.0401,11.7949,9.5211,9.304,8.8322,8.3925,7.8224,7.398,0.6245,9.8163,11.6436,7.0004,5.3511,3.915,7.6887,5.7206,5.5308,9.5547,7.6962,4.0151,6.7218,9.8808,0,11.6089,6.7106,8.3087,3.5649,2.4866,7.6522,10.3794,6.8138,0.3459,3.9659,8.9049,6.5738,3.8075,11.2688,12.5142,8.7501,5.3511,6.7475,7.6868,5.488,1.5354,0,4.175,5.0545,7.7205,0,0,7.0543,9.1143,9.549,1.663,6.8425,13.543,9.0637,8.6993,7.3533,7.7643,0,2.6197,6.279,10.3047,9.3757,10.1966,13.2428,2.9582,9.2161,7.0484,7.9793,1.663,6.294,8.2738,11.4122,10.0069,11.0301,10.6854,7.4118,10.1292,1.0589,0.3459,12.6777,0,1.2353,6.1746,2.4151,6.7329,0,9.9559,8.4717,12.6434,1.663,0,10.8775,0.3459,8.4783,2.3399,2.0876,0.3459,1.2353,8.6051,1.2353,0,1
TCGA-BH-A0BQ-01,1,9.3216,2.7224,0.5526,11.9665,11.4105,10.4406,12.8186,4.7115,0,5.8329,10.0717,0,8.4629,1.5193,10.6263,10.3312,4.2275,11.9019,9.9627,5.8563,6.4329,9.9259,10.863,6.9291,7.8807,14.1788,9.9847,7.8345,6.9673,4.5484,7.4363,0,0,9.4893,2.6166,10.2826,7.5909,3.3025,7.1347,0,3.8142,0,10.3584,12.2025,5.0732,10.0661,0,11.1783,10.2624,12.0997,12.6515,4.1538,9.3258,4.9696,3.8613,1.263,10.5046,9.9319,9.3672,8.8907,10.4314,9.9298,9.9243,8.3622,1.263,8.6252,7.5018,6.4014,5.3622,9.6353,0,0.5526,15.081,8.824,9.5809,9.412,11.4514,4.762,8.0955,10.4826,3.7151,0.5526,12.4315,9.4153,9.7862,11.1287,12.1052,8.4509,11.8606,10.9739,7.5376,0,7.2409,8.4812,9.4598,10.1638,10.8785,8.9761,7.6888,10.3563,7.8434,8.6455,9.458,3.3692,10.9893,10.2514,10.2459,5.8793,3.6088,8.2779,8.245,6.5235,9.035,8.3744,4.5193,8.5749,9.4893,0,8.6771,10.094,11.3385,7.0711,8.0067,10.1986,11.2136,6.3531,6.6429,8.1151,12.1684,4.9696,1.5193,13.2314,13.0579,9.1509,7.4859,5.8563,9.6893,7.1008,2.6308,1.5193,6.4484,6.0312,8.0531,0,0,5.132,8.3563,9.4173,2.9133,6.6893,12.1725,9.1052,10.4068,8.9271,10.6925,0,8.2649,7.4517,11.1746,7.9988,11.6985,13.4214,3.9511,8.6853,7.5157,11.1245,5.4875,6.3025,9.3047,10.9992,10.1632,10.8561,10.2874,9.035,9.507,0.9511,0,11.3296,0,0,7.8227,0,1.263,0,9.7039,8.3016,12.2665,0.9511,0,10.3883,3.0818,7.214,4.9479,0,0,2.2428,7.4479,3.7151,2.0931,1
TCGA-BH-A0BT-01,1,9.0198,1.3414,0,13.1881,11.0911,10.4244,12.6427,2.7553,0,4.6308,10.7406,0,8.4495,1.1046,10.2377,11.4924,5.624,9.6035,9.4741,7.046,6.8199,10.1629,11.3431,5.7527,7.5985,13.2402,9.4702,8.6948,8.7317,3.6879,6.7801,0,0.8213,9.1924,2.7553,11.1037,7.0873,1.7229,6.8962,0,3.2383,0,10.4789,11.8888,5.6128,10.2654,0,11.3301,10.1149,8.2801,12.9587,2.4859,9.7743,4.4401,5.5551,0.4683,11.0711,8.6855,9.4015,9.1266,10.7266,10.2099,10.7716,8.5114,3.2957,7.9405,7.7275,5.9536,3.5994,9.4733,0,0.4683,13.7726,9.9372,8.5084,8.5198,9.9701,1.5447,5.9713,9.8596,3.888,3.4555,12.2222,9.1666,8.1114,8.3342,11.3137,7.1487,10.6443,9.6545,6.0233,0,10.0301,7.6352,9.7065,9.923,10.3097,7.8061,7.2668,9.8068,5.1188,9.9942,8.5621,3.6879,11.7417,10.7334,11.4626,6.3356,3.4555,9.471,7.1314,3.553,8.0921,10.3428,7.1969,7.6019,9.041,0,5.4703,9.9333,10.9744,9.8434,7.3775,9.8494,10.4432,7.2959,3.996,3.4555,8.9171,3.5051,3.5994,12.3296,12.431,7.8233,6.5096,5.9356,7.5527,5.8709,2.1542,0,5.0866,3.9609,7.4583,0,0,6.0402,8.4391,9.6938,1.3414,4.8953,10.3707,9.9133,10.0184,10.43,8.2367,0,6.3219,6.3894,11.5255,6.5277,11.7802,13.8458,2.7553,9.6702,7.5259,10.7019,6.3761,5.9174,9.2498,10.543,8.9148,10.3869,9.2849,9.068,9.0399,0.4683,0,10.1164,0,0,8.3513,0,3.1159,0,10.1916,7.3198,11.3102,2.1542,0,10.5073,1.3414,8.0215,7.2776,0.4683,0.8213,2.0242,9.2316,1.8814,0,1
TCGA-A8-A06X-01,1,9.6417,0.5819,0,12.0036,11.2545,10.148,12.6622,4.2765,1.8007,4.4505,9.6876,0,8.3679,2.1627,10.959,10.6422,3.6918,11.5567,9.8401,7.2575,7.0514,10.2424,11.2374,6.3831,7.8067,12.9157,11.9365,9.7867,8.3916,2.4518,6.9155,0.5819,0.5819,9.3193,0.5819,9.4735,6.6842,0.5819,7.0296,0,4.5146,0,10.05,12.6236,4.7724,9.3416,0,10.6889,10.2032,9.2445,13.1351,2.6925,10.0608,1.5787,2.4518,0.5819,10.357,9.2933,9.3548,8.7996,10.6767,10.6466,9.7916,8.7152,0.9953,6.6201,6.8805,8.1556,0,8.6017,0,1.3163,15.2625,8.0992,9.8855,9.3477,10.0781,4.6349,4.5456,10.0527,1.3163,3.7462,12.5398,10.3526,9.0761,9.7916,10.0439,7.7677,10.4388,10.6811,6.2387,0,7.4866,8.7851,9.3828,10.2147,9.6728,7.0622,6.6128,10.2165,7.7322,10.1718,8.8109,2.1627,10.4965,10.8702,9.9991,5.0784,3.6353,8.4336,7.3216,3.515,8.2668,11.238,2.5772,6.9096,9.0979,0,8.0433,8.5005,10.6815,2.4518,4.6634,8.6182,11.7141,7.722,0,7.4253,7.3916,4.3834,1.993,12.3726,12.5001,9.241,8.7605,3.7987,7.1855,6.2099,2.9055,0,4.9217,3.0792,7.5568,0,0,5.1202,9.6385,9.6868,0.9953,3.8982,10.5534,8.9765,9.5414,8.7066,8.0075,0,7.357,5.6056,11.0141,10.5868,11.1836,12.3745,2.5772,9.6997,3.7987,10.8934,5.4338,5.945,9.7679,10.0972,9.2586,11.7487,10.4101,8.4965,10.3165,0,0,12.3637,0,0,7.383,0,0,0,10.295,8.0296,11.7315,1.5787,0,10.6227,0,7.5376,4.7983,0.5819,0,1.5787,7.6981,0.9953,0.5819,1
TCGA-A8-A096-01,1,9.7665,0.2738,0.8765,11.8118,10.8554,10.4282,12.481,4.3232,0,5.0156,8.9324,0,8.7114,0.2738,11.5621,9.8711,4.52,6.6716,10.3341,6.698,7.6645,9.8551,10.571,8.4316,8.2679,13.0155,9.8994,8.2058,7.542,5.1743,8.2629,0,0.7022,9.7575,1.4179,10.2113,9.1608,0.2738,6.7521,0,2.2515,0,10.4369,12.3077,4.1641,9.9117,0,11.4492,10.7014,11.6594,12.066,2.3134,9.2181,2.119,3.7812,0.2738,10.3772,10.4776,9.3978,9.1905,10.5576,9.4505,9.2526,7.2724,1.5265,8.4339,7.1455,7.9652,0,9.052,0.5039,0.7022,16.0053,9.4917,10.0815,9.9009,11.5907,5.7737,7.4588,10.0383,6.5221,0.8765,12.7068,10.4755,10.5891,8.1163,11.4052,9.7418,11.677,10.5496,5.7515,0,7.491,9.678,9.6377,10.7354,11.3655,7.4171,7.9086,9.5268,6.6834,8.419,8.6816,2.1868,10.0965,10.0804,9.6618,5.9836,3.7138,8.0822,7.6131,6.4307,9.1256,10.4774,8.772,8.3716,10.0557,0,9.0593,8.0654,11.6989,3.7366,7.7897,10.0297,12.9433,6.5957,0.5039,5.7902,10.1978,5.8278,3.0556,13.8209,13.9445,9.0429,9.2771,6.5769,9.0734,6.6356,0,0.7022,5.4882,5.3472,9.5592,0,0,6.3773,9.9317,9.8946,2.3134,3.9662,12.7897,8.8248,9.7728,9.5715,9.895,0,4.1974,7.5661,10.9892,8.9563,11.3956,13.2403,3.5941,9.6732,7.7398,11.3923,5.9596,6.3846,9.6744,11.012,9.8051,10.9934,11.2646,8.6399,9.4344,0.8765,0,12.074,0,0.2738,7.6314,0,1.032,0,9.1077,8.4658,12.0048,1.032,0,10.457,0.5039,7.6837,3.4359,0.2738,0,1.1724,7.5693,1.8941,0.5039,1
TCGA-BH-A0C7-01,1,10.0931,3.609,0,11.382,10.7663,10.3366,12.724,2.2163,0.334,5.091,8.6721,0,8.6967,0.605,10.7342,9.7939,5.2176,8.1664,10.8287,7.5449,7.1908,9.9606,10.9786,6.3806,8.0451,12.619,10.1006,9.4996,7.7664,5.277,8.6119,0,0.8331,9.7251,2.1331,10.47,7.3741,4.5161,5.9773,0,6.451,0,11.3139,12.6991,4.6419,10.298,0,11.8493,10.6316,12.6554,12.1264,3.8365,9.78,3.9381,5.0462,1.2032,9.7166,9.5877,9.6722,8.3071,11.1138,10.4083,9.336,8.4633,2.1331,8.6545,7.2468,8.7405,1.6248,8.848,0.334,1.3578,14.6441,9.3143,9.7671,9.8107,10.3863,5.5092,6.9597,9.0968,2.4406,3.4112,12.6501,12.3952,9.9204,10.6436,10.7171,7.7326,11.4072,10.6625,7.0131,0,7.1331,9.165,9.6789,10.5452,11.0581,7.5904,7.0757,8.9563,8.4633,9.2472,8.4622,1.85,10.0218,10.7541,9.7684,5.3433,3.4461,8.3446,7.0476,6.4206,9.4986,10.1003,4.9522,7.0043,9.4639,0,8.6176,10.0831,11.0756,5.941,7.2586,8.7431,13.315,7.91,5.5659,4.4996,9.3266,4.6115,2.5082,13.012,13.2427,9.2687,6.863,5.9593,8.1871,6.4596,1.8604,0.8331,5.2476,4.4141,7.2188,0,0,3.9133,9.5294,10.1214,2.0447,4.596,11.688,7.7989,10.7041,9.3636,6.8303,0,7.016,6.13,11.6258,11.1059,11.0352,11.8679,4.3963,9.2348,7.2733,9.9904,5.1129,5.9471,8.8282,10.0716,9.5989,11.3887,10.9858,9.0592,9.8341,0.8331,0,12.3563,0,0,7.3444,3.5779,2.5728,0.334,9.7366,9.0585,11.7183,2.295,0,9.9465,0.605,7.9705,4.94,1.03,1.2032,0.605,9.3516,4.0098,1.03,1
TCGA-AC-A5XU-01,1,9.1524,0.4738,0,11.5004,10.4358,10.4248,13.7292,5.881,0,5.9552,10.5525,0,8.4582,1.1153,10.9929,10.2727,4.9513,10.5809,10.5742,8.0456,8.6152,10.5451,11.305,6.8364,7.3505,13.5961,10.8733,8.5449,7.5988,3.0682,7.0489,0,1.7367,8.273,1.8959,10.0211,6.0513,7.1551,6.8877,0,4.2974,0,10.0516,12.145,5.2306,10.4097,0.4738,10.8437,10.3067,11.5726,13.7033,2.3997,9.761,2.7723,3.6177,0,9.9627,9.3493,10.0881,9.4625,10.9818,10.3027,11.3057,8.4178,1.3534,8.9964,7.3838,8.3105,5.982,10.013,0,0,14.789,8.5358,9.1999,11.4345,10.3567,5.4389,6.2413,10.2585,4.7367,3.9066,12.472,11.8093,9.7016,9.8848,10.4261,7.7011,11.6971,10.6185,7.8431,0,5.9909,8.4062,9.4177,9.5331,10.1843,8.2344,7.3009,9.0765,7.6217,8.1966,8.4276,4.2392,10.78,12.4121,10.6527,7.3256,3.0682,8.2213,8.7697,4.0824,9.3467,11.0245,4.7575,8.8928,9.3731,0,7.2242,10.3648,12.1728,5.1221,6.6119,9.1114,11.1431,8.7447,3.7063,10.4527,9.6668,5.5628,3.3689,13.8486,13.7036,8.6986,10.7068,5.6209,8.5328,7.8382,3.8721,0,6.5293,5.6986,7.4655,0,0,3.9795,9.0951,9.6571,2.2892,4.2686,11.1574,8.3489,12.191,8.4145,7.2502,0.4738,5.426,6.2264,10.5919,10.5864,11.7288,12.0545,3.0682,9.7821,5.3728,11.2369,3.3689,6.5653,9.8602,9.9633,9.8267,10.358,10.2603,8.7914,9.5064,0,0,11.4528,0,0,8.116,0.8299,0.4738,0,9.8285,8.4835,12.9508,1.3534,0,10.2512,0,7.7832,3.0682,0,7.6638,2.1697,7.8035,3.0682,0.4738,1
TCGA-PE-A5DE-01,1,9.9398,2.9378,0,12.2055,11.221,9.8265,12.2089,4.4802,0,5.0818,9.7504,0,9.0425,1.2218,10.8767,10.6608,4.4216,10.9853,10.3931,6.4234,7.6941,10.5894,10.9668,7.1377,8.0553,13.5424,9.7028,8.4498,7.7927,5.8543,5.8207,0,0.5302,9.2816,2.9378,9.7135,9.6709,2.9378,7.1017,0,5.1556,0,9.8934,12.088,3.7481,10.5887,0,11.1347,10.2618,11.8237,12.0196,3.795,9.7004,4.329,4.984,0,9.8987,9.3714,9.7407,9.2535,10.437,9.6873,10.0067,7.7095,1.4733,8.2993,7.3874,7.3923,1.6874,10.0381,0,1.6874,14.6674,8.8309,9.3362,9.3369,11.2675,5.3722,6.6187,10.9732,7.7033,2.76,12.3464,11.2675,9.4986,10.309,10.643,9.5468,11.0777,10.7647,7.9972,0,8.2496,8.7182,10.2926,10.1495,10.8912,8.4752,8.4276,9.627,7.527,7.9997,8.477,1.2218,10.2882,8.9248,10.1574,5.3409,3.3684,8.5558,7.827,5.4178,9.535,9.4068,7.0971,8.0988,9.3081,0,9.4596,10.0054,10.8025,6.1168,6.8135,10.5109,10.5605,8.0305,4.0483,6.1076,10.3665,6.1623,3.5434,13.2876,13.2477,8.882,7.9172,6.1889,8.2112,7.9225,1.6953,2.3211,6.5655,2.5572,9.433,0,0,7.5165,8.7099,9.3132,3.3049,7.6533,11.4938,8.3394,9.8798,11.0538,9.3262,0,5.0628,6.4234,10.4901,10.2054,11.1472,12.9365,3.2386,10.1421,7.3059,10.8025,5.6525,7.2606,9.3091,10.4999,8.7573,10.7278,9.8771,9.2765,9.2451,2.8516,0,10.6011,0,0,7.7156,0,3.6494,0,9.1924,7.4989,11.5047,1.4733,0,10.2613,1.4733,6.9545,5.5468,0.9171,0,2.6622,8.6207,2.8516,3.2386,1
TCGA-PE-A5DC-01,1,9.6287,4.1136,0,12.1312,10.8013,10.3031,12.4242,5.943,1.1939,5.8169,9.963,0,8.4964,2.5164,10.0906,10.0348,6.3896,9.0679,10.023,7.1606,6.6336,10.7505,11.4262,6.0497,8.0869,13.7581,11.3505,8.907,9.8265,2.895,6.9909,0.5152,1.1939,8.7647,4.0402,9.8655,6.2501,3.9226,7.4849,0.8941,3.1254,0,10.0786,11.8602,6.4686,10.6188,0.8941,10.8684,11.3538,9.9895,14.0564,2.8092,9.6357,2.6208,6.1315,0.5152,10.5058,8.1425,9.4719,7.8602,10.1915,10.121,10.4713,8.6887,3.5522,7.3735,7.9785,8.4025,5.1255,10.6842,0,2.895,14.538,8.417,8.3001,8.8596,10.8068,0.8941,6.3896,10.3331,1.442,5.0713,11.9783,12.6924,9.4888,9.6404,11.115,7.2572,11.4756,10.8298,8.5419,0,8.3312,7.8975,9.5416,9.265,9.9779,8.7561,9.2549,10.6219,7.015,9.0376,8.7446,1.8381,10.2873,10.8369,10.3503,6.0497,2.7181,8.7446,8.6117,5.5914,8.643,6.9909,7.5721,7.6419,8.8664,0.5152,7.0942,10.7622,12.4226,9.3958,2.4039,9.7976,11.6777,8.2801,2.4039,5.9329,9.5778,4.9159,2.4039,14.2962,14.1161,8.9836,8.0889,7.7292,8.0022,7.1948,4.0402,0.5152,6.5568,4.8314,7.5055,0,0,4.1489,9.5783,9.8853,0.8941,5.1432,11.0502,8.9564,11.2511,9.1874,6.7301,1.1939,6.2338,7.0528,11.4635,9.6334,12.0081,11.8,3.7493,9.3328,7.645,10.8911,2.9759,7.2447,9.2427,10.0809,9.3791,11.184,10.2348,9.5745,9.8688,0.8941,0,10.3191,1.6536,0,7.8414,0,0.5152,0,9.2252,7.4285,11.66,2.895,0,10.6729,2.4039,5.9125,7.1736,1.8381,2.9759,0.8941,10.0142,4.0402,6.0866,1
