"","ID","estres","grupo","edad","peso","genero","sueldo","contrato","jornada","car_fisica","car_psiquica","ruido","car_fisica_corregida","expo_total","estres_grupo"
"1",75,8,"otros",25,68,"hombre",23000,"fijo","completa",3,2,3,3,8,"alto"
"2",76,9,"otros",27,65,"hombre",25000,"fijo","completa",5,2,3,5,10,"alto"
"3",77,2,"otros",27,69,"hombre",21000,"fijo","completa",1,2,2,1,5,"bajo"
"4",78,2,"otros",29,60,"hombre",22000,"fijo","completa",1,2,4,1,7,"bajo"
"5",79,2,"otros",30,71,"hombre",24000,"fijo","completa",1,2,3,1,6,"bajo"
"6",80,2,"otros",30,61,"hombre",27000,"fijo","completa",1,2,0,1,3,"bajo"
"7",81,2,"otros",31,62,"hombre",23000,"fijo","completa",1,2,2,1,5,"bajo"
"8",82,2,"otros",31,69,"hombre",26000,"temporal","completa",1,2,4,1,7,"bajo"
"9",83,8,"otros",31,73,"hombre",24000,"temporal","completa",1,2,3,1,6,"alto"
"10",84,8,"otros",26,58,"hombre",25000,"fijo","completa",1,2,0,1,3,"alto"
"11",85,8,"otros",27,59,"hombre",25000,"fijo","completa",1,2,2,1,5,"alto"
"12",86,7,"otros",28,66,"hombre",28000,"fijo","completa",1,2,2,1,5,"medio"
"13",87,2,"otros",28,70,"hombre",26000,"fijo","completa",1,2,1,1,4,"bajo"
"14",88,2,"otros",29,67,"hombre",23000,"fijo","completa",1,2,1,1,4,"bajo"
"15",89,2,"otros",30,68,"hombre",24000,"fijo","completa",1,2,3,1,6,"bajo"
"16",90,2,"otros",30,72,"hombre",27000,"fijo","completa",1,2,2,1,5,"bajo"
"17",42,3,"médico",27,79,"hombre",23000,"fijo","completa",2,3,2,3,7,"medio"
"18",43,3,"médico",31,83,"hombre",26000,"temporal","completa",2,3,3,3,8,"medio"
"19",44,3,"médico",37,89,"hombre",24000,"temporal","parcial",2,3,2,3,7,"medio"
"20",45,3,"administrativo",28,80,"hombre",21000,"fijo","completa",2,3,4,3,9,"medio"
"21",46,3,"administrativo",29,81,"hombre",22000,"fijo","completa",2,3,0,3,5,"medio"
"22",47,3,"administrativo",30,82,"hombre",25000,"fijo","completa",2,3,2,3,7,"medio"
"23",48,3,"administrativo",31,84,"hombre",24000,"temporal","parcial",2,3,5,3,10,"medio"
"24",49,3,"administrativo",32,85,"hombre",26000,"temporal","parcial",2,3,1,3,6,"medio"
"25",50,3,"administrativo",33,86,"hombre",27000,"temporal","parcial",2,3,2,3,7,"medio"
"26",51,3,"administrativo",34,87,"hombre",25000,"temporal","parcial",2,3,5,3,10,"medio"
"27",52,3,"administrativo",35,88,"hombre",21000,"temporal","parcial",2,3,6,3,11,"medio"
"28",53,3,"administrativo",29,62,"hombre",26000,"fijo","completa",2,3,2,3,7,"medio"
"29",54,3,"administrativo",30,63,"hombre",22000,"fijo","completa",2,3,1,3,6,"medio"
"30",55,3,"administrativo",31,64,"hombre",24000,"fijo","completa",2,3,3,3,8,"medio"
"31",56,3,"administrativo",26,60,"hombre",20000,"fijo","completa",2,3,1,3,6,"medio"
"32",57,3,"administrativo",28,61,"hombre",21000,"fijo","completa",2,3,3,3,8,"medio"
"33",58,3,"administrativo",32,64,"hombre",23000,"temporal","parcial",2,3,4,3,9,"medio"
"34",59,3,"administrativo",33,75,"hombre",26000,"temporal","parcial",2,3,4,3,9,"medio"
"35",60,3,"administrativo",34,66,"hombre",22000,"temporal","parcial",2,3,3,3,8,"medio"
"36",61,2,"administrativo",35,77,"hombre",23000,"temporal","parcial",2,3,2,3,7,"bajo"
"37",62,2,"administrativo",37,68,"hombre",24000,"temporal","parcial",2,3,6,3,11,"bajo"
"38",63,2,"otros",39,79,"hombre",24000,"temporal","parcial",2,3,5,3,10,"bajo"
"39",64,2,"otros",31,74,"hombre",27000,"temporal","parcial",2,3,2,3,7,"bajo"
"40",65,2,"otros",33,65,"hombre",25000,"temporal","parcial",2,3,1,3,6,"bajo"
"41",66,2,"otros",33,76,"hombre",22000,"temporal","parcial",2,3,3,3,8,"bajo"
"42",67,2,"otros",35,67,"hombre",23000,"temporal","parcial",2,3,4,3,9,"bajo"
"43",68,2,"otros",36,78,"hombre",26000,"temporal","parcial",2,3,3,3,8,"bajo"
"44",69,2,"otros",27,66,"hombre",25000,"fijo","completa",2,3,4,3,9,"bajo"
"45",70,2,"otros",31,70,"hombre",27000,"temporal","completa",2,3,5,3,10,"bajo"
"46",71,2,"otros",23,65,"hombre",28000,"fijo","completa",2,3,2,3,7,"bajo"
"47",72,2,"otros",28,67,"hombre",26000,"fijo","completa",2,3,0,3,5,"bajo"
"48",73,2,"otros",29,68,"hombre",22000,"fijo","completa",2,3,2,3,7,"bajo"
"49",74,2,"otros",30,69,"hombre",27000,"fijo","completa",2,3,4,3,9,"bajo"
"50",14,3,"enfermero",25,67,"mujer",20000,"fijo","completa",2,4,4,3,10,"medio"
"51",15,2,"enfermero",29,69,"mujer",23000,"fijo","completa",2,4,2,3,8,"bajo"
"52",16,9,"enfermero",30,70,"mujer",21000,"fijo","completa",3,4,4,3,11,"alto"
"53",17,9,"enfermero",32,73,"mujer",22000,"temporal","parcial",3,4,3,3,10,"alto"
"54",18,9,"enfermero",33,74,"mujer",22000,"temporal","parcial",3,4,5,3,12,"alto"
"55",19,9,"enfermero",34,75,"mujer",25000,"temporal","parcial",3,4,1,3,8,"alto"
"56",20,9,"enfermero",35,76,"mujer",23000,"temporal","parcial",3,4,3,3,10,"alto"
"57",21,9,"enfermero",27,68,"mujer",20000,"fijo","completa",3,4,0,3,7,"alto"
"58",22,9,"médico",30,71,"mujer",21000,"fijo","completa",3,4,0,3,7,"alto"
"59",23,2,"médico",31,72,"mujer",24000,"temporal","completa",4,4,3,4,11,"bajo"
"60",24,2,"médico",36,77,"mujer",23000,"temporal","parcial",4,4,3,4,11,"bajo"
"61",25,9,"médico",34,68,"mujer",25000,"temporal","parcial",3,4,4,3,11,"alto"
"62",26,7,"médico",37,70,"mujer",26000,"temporal","parcial",3,4,4,3,11,"medio"
"63",27,7,"médico",31,65,"mujer",24000,"temporal","parcial",3,4,4,3,11,"medio"
"64",28,7,"médico",32,66,"mujer",20000,"temporal","parcial",3,4,3,3,10,"medio"
"65",29,7,"médico",33,67,"mujer",25000,"temporal","parcial",3,4,2,3,9,"medio"
"66",30,7,"médico",35,69,"mujer",21000,"temporal","parcial",3,4,5,3,12,"medio"
"67",31,7,"médico",29,74,"mujer",23000,"fijo","completa",3,4,3,3,10,"medio"
"68",32,7,"médico",30,75,"mujer",19000,"fijo","completa",3,4,2,3,9,"medio"
"69",33,7,"médico",32,78,"mujer",20000,"temporal","parcial",3,4,4,3,11,"medio"
"70",34,7,"médico",33,79,"mujer",22000,"temporal","parcial",3,4,3,3,10,"medio"
"71",35,7,"médico",34,80,"mujer",25000,"temporal","parcial",3,4,2,3,9,"medio"
"72",36,5,"médico",35,81,"mujer",21000,"temporal","parcial",3,4,4,3,11,"medio"
"73",37,4,"médico",37,82,"hombre",24000,"temporal","parcial",3,4,5,3,12,"medio"
"74",38,3,"médico",26,72,"hombre",22000,"fijo","completa",3,4,2,3,9,"medio"
"75",41,3,"médico",31,77,"hombre",23000,"temporal","completa",3,4,2,3,9,"medio"
"76",39,2,"médico",27,73,"hombre",25000,"fijo","completa",3,4,1,3,8,"bajo"
"77",40,1,"médico",30,76,"hombre",26000,"fijo","completa",3,4,1,3,8,"bajo"
"78",1,10,"enfermero",39,78,"mujer",26000,"temporal","parcial",4,5,5,4,14,"alto"
"79",2,10,"enfermero",38,75,"mujer",26000,"temporal","parcial",4,5,3,4,12,"alto"
"80",3,10,"enfermero",31,70,"mujer",21000,"temporal","parcial",4,5,3,4,12,"alto"
"81",4,2,"enfermero",32,71,"mujer",22000,"temporal","parcial",4,5,2,4,11,"bajo"
"82",5,2,"enfermero",33,72,"mujer",25000,"temporal","parcial",4,5,4,4,13,"bajo"
"83",6,9,"enfermero",34,73,"mujer",22000,"temporal","parcial",4,5,3,4,12,"alto"
"84",7,9,"enfermero",35,74,"mujer",23000,"temporal","parcial",4,5,4,4,13,"alto"
"85",8,9,"enfermero",36,75,"mujer",23000,"temporal","parcial",4,5,4,4,13,"alto"
"86",9,9,"enfermero",39,76,"mujer",26000,"temporal","parcial",2,5,4,3,11,"alto"
"87",10,9,"enfermero",31,71,"mujer",20000,"temporal","parcial",2,5,1,3,8,"alto"
"88",11,9,"enfermero",32,72,"mujer",22000,"temporal","parcial",4,5,3,4,12,"alto"
"89",12,9,"enfermero",33,73,"mujer",25000,"temporal","parcial",4,5,5,4,14,"alto"
"90",13,9,"enfermero",34,74,"mujer",21000,"temporal","parcial",4,5,3,4,12,"alto"
